X_(ms),SERVO_03.r35:_Motortemperatur_PT1000,SERVO_03.r63:_Drehzahlistwert_geglättet,SERVO_03.r76:_Stromistwert_feldbildend,SERVO_03.r78[1]:_Stromistwert_momentenbildend._Geglättet_mit_p0045,SERVO_03.r72:_Ausgangsspannung,Drehzahl_>_0_(Siemens),TM150_04.r4105[1]:_TM150_Temperaturistwert._Temperaturkanal_1_KTY,Channel_1-Vor_Kühlwasser_PT100_an_Muffe,Channel_2-Ruek_Kühlwasser_PT100_an_Muffe,Drehzahl_>_0_(PT104),RotorTemp,Channel_3-Rot_RotorTemp_(Wert_/_0.0125_=_°C),Control_Unit.r747:_CU_Digitalausgänge_Status_Drehzahl_>_0,Channel_4_ON_wenn_>_700_dann_Drehzahl_>_0
51000,23.54470634,500.0378113,-0.546851873,1.215991735,412.29776,10,23.10000038,23.426,23.475,10,23.1904,0.28988,4096,700.15649
52000,23.64977074,499.9536743,-0.576290011,1.206859827,413.6142883,10,23.20000076,23.433,23.477,10,23.1904,0.28988,4096,700.15649
53000,23.71021843,500.1114502,-0.608852148,1.218551159,411.7523804,10,23.20000076,23.433,23.479,10,23.2808,0.29101,4096,700.15649
54000,23.73545647,500.1125793,-0.54025948,1.277301073,412.7863464,10,23.20000076,23.444,23.479,10,23.2808,0.29101,4096,700.159
55000,23.73288918,500.0352173,-0.579422355,1.203292251,411.5446472,10,23.20000076,23.458,23.499,10,23.2808,0.29101,4096,700.159
56000,23.70908737,500.0452881,-0.589227915,1.259145498,412.6002502,10,23.20000076,23.458,23.499,10,23.3352,0.29169,4096,700.16101
57000,23.7965889,499.9768066,-0.564603806,1.279576898,413.5737,10,23.29999924,23.469,23.499,10,23.3352,0.29169,4096,700.1709
58000,23.88380623,500.00177,-0.618131757,1.087332487,414.9646912,10,23.29999924,23.469,23.503,10,23.3352,0.29169,4096,700.1709
59000,23.94408035,500.0066223,-0.546940863,1.254513502,413.9027405,10,23.29999924,23.469,23.503,10,23.4368,0.29296,4096,700.16376
60000,23.87921524,500.0545654,-0.474944144,1.331472158,411.8209534,10,23.29999924,23.469,23.503,10,23.4368,0.29296,4096,700.16376
61000,23.95968437,500.0239563,-0.453366786,1.231831908,411.5014648,10,23.29999924,23.469,23.521,10,23.5752,0.29469,4096,700.16376
62000,23.94220543,500.0912476,-0.534008801,1.272811413,411.640625,10,23.29999924,23.469,23.521,10,23.5752,0.29469,4096,700.15472
63000,24.00260353,500.1057739,-0.419329017,1.280880928,412.2252502,10,23.29999924,23.476,23.53,10,23.5752,0.29469,4096,700.15472
64000,23.98498154,500.1383972,-0.478665799,1.275942326,410.6411438,10,23.29999924,23.476,23.53,10,23.6008,0.29501,4096,700.15472
65000,24.08460045,500.059845,-0.549008191,1.278083682,410.8621826,10,23.39999962,23.498,23.53,10,23.6008,0.29501,4096,700.16638
66000,24.10791969,500.0684814,-0.484799385,1.327010393,413.5155029,10,23.39999962,23.498,23.535,10,23.6008,0.29501,4096,700.16638
67000,24.1308136,500.0665283,-0.506855607,1.224837899,413.0201416,10,23.39999962,23.498,23.535,10,23.6192,0.29524,4096,700.17957
68000,24.05164528,500.0993042,-0.442727476,1.322073579,412.1712952,10,23.39999962,23.508,23.535,10,23.6192,0.29524,4096,700.17957
69000,24.07535934,500.1231079,-0.453235388,1.310059309,410.4951172,10,23.5,23.508,23.557,10,23.612,0.29515,4096,700.17957
70000,24.1197319,500.1435547,-0.547653794,1.077529311,411.8607178,10,23.5,23.508,23.557,10,23.612,0.29515,4096,700.17627
71000,24.13445091,500.1302795,-0.529500782,1.303987145,411.0772095,10,23.5,23.519,23.557,10,23.612,0.29515,4096,700.17627
72000,24.1998539,500.0223083,-0.437598079,1.313090801,412.4550171,10,23.5,23.519,23.557,10,23.664,0.2958,4096,700.17627
73000,24.27918053,500.1361694,-0.435552746,1.429609656,409.4011536,10,23.5,23.517,23.557,10,23.664,0.2958,4096,700.17902
74000,24.28564262,500.0506897,-0.520759344,1.319832206,414.4426575,10,23.5,23.517,23.558,10,23.664,0.2958,4096,700.17902
75000,24.23149872,499.9277649,-0.490558118,1.457480431,414.3310852,10,23.5,23.517,23.558,10,24.0184,0.30023,4096,700.17456
76000,24.29052544,500.0002747,-0.534106076,1.303237438,413.2519226,10,23.5,23.529,23.558,10,24.0184,0.30023,4096,700.17456
77000,24.32545662,500.0613098,-0.491335392,1.380135059,411.8358765,10,23.60000038,23.529,23.573,10,23.884,0.29855,4096,700.17456
78000,24.34372711,499.9988403,-0.455253631,1.363111973,411.8092041,10,23.60000038,23.529,23.573,10,23.884,0.29855,4096,700.16821
79000,24.40315247,500.0844421,-0.437223643,1.358478785,411.2993469,10,23.60000038,23.545,23.578,10,23.884,0.29855,4096,700.16821
80000,24.49609375,500.1684875,-0.479529798,1.347602725,408.8727722,10,23.60000038,23.545,23.578,10,23.8288,0.29786,4096,700.16821
81000,24.5584507,500.0496521,-0.44605872,1.34973824,411.5443115,10,23.60000038,23.55,23.578,10,23.8288,0.29786,4096,700.16187
82000,24.55772591,500.0749512,-0.457488775,1.381911039,413.054718,10,23.60000038,23.55,23.598,10,23.8288,0.29786,4096,700.16187
83000,24.57420731,500.0229797,-0.466213763,1.433293581,413.0917053,10,23.60000038,23.55,23.598,10,23.9808,0.29976,4096,700.17792
84000,24.57557297,500.1485901,-0.393411994,1.576698542,412.9135132,10,23.70000076,23.558,23.598,10,23.9808,0.29976,4096,700.17792
85000,24.53700066,499.9769287,-0.446107954,1.497575641,413.8157349,10,23.70000076,23.558,23.601,10,24.1096,0.30137,4096,700.17792
86000,24.64981461,500.0211487,-0.548475921,1.58041811,414.7105103,10,23.70000076,23.558,23.601,10,24.1352,0.30169,4096,700.17908
87000,24.67481232,499.991333,-0.471494257,1.464604139,415.3078003,10,23.79999924,23.558,23.603,10,24.1352,0.30169,4096,700.17908
88000,24.69053078,500.0664063,-0.483707964,1.342375875,412.9781189,10,23.79999924,23.558,23.604,10,24.1152,0.30144,4096,700.17908
89000,24.82242584,500.0514832,-0.541878402,1.435822845,413.7000122,10,23.79999924,23.561,23.604,10,24.1152,0.30144,4096,700.15088
90000,24.78162575,500.0805969,-0.435871273,1.414917111,412.4091187,10,23.79999924,23.566,23.621,10,24.1152,0.30144,4096,700.15088
91000,24.70540047,500.0171509,-0.449328482,1.421077013,412.2020264,10,23.79999924,23.566,23.621,10,24.2336,0.30292,4096,700.15228
92000,24.7714386,499.9849854,-0.41656667,1.376231074,412.9617615,10,23.79999924,23.572,23.621,10,24.2336,0.30292,4096,700.15588
93000,24.86786079,499.9299927,-0.513189018,1.44946754,413.447937,10,23.79999924,23.572,23.631,10,24.2336,0.30292,4096,700.15588
94000,24.88275528,500.0211487,-0.46930784,1.344875336,412.0552673,10,23.89999962,23.572,23.631,10,24.324,0.30405,4096,700.17303
95000,24.92592049,500.1771851,-0.514703333,1.427653193,409.5977478,10,23.89999962,23.584,23.631,10,24.324,0.30405,4096,700.17303
96000,24.99430084,500.1322632,-0.458473206,1.340979576,410.8381042,10,23.89999962,23.584,23.646,10,24.4424,0.30553,4096,700.17303
97000,25.01262665,500.1020508,-0.455934197,1.381743073,411.1758118,10,23.89999962,23.584,23.646,10,24.4424,0.30553,4096,700.17267
98000,24.35970116,500.1398926,-0.465824336,1.352704883,411.5687256,10,24,23.59,23.657,10,24.4424,0.30553,4096,700.17267
99000,24.99884987,500.1712341,-0.381896794,1.442178845,411.3683472,10,24,23.59,23.657,10,24.436,0.30545,4096,700.17267
100000,24.99938583,500.0062256,-0.51650095,1.367627501,412.9930725,10,24,23.594,23.657,10,24.436,0.30545,4096,700.16681
101000,25.04145432,500.1462402,-0.395087421,1.43502593,408.6812744,10,24,23.594,23.672,10,24.436,0.30545,4096,700.16681
102000,25.10871124,500.1414185,-0.290212691,1.442901373,409.6508179,10,24,23.594,23.672,10,24.464,0.3058,4096,700.18152
103000,25.08493614,500.1318054,-0.37373659,1.294730783,411.4906921,10,24,23.604,23.672,10,24.464,0.3058,4096,700.18152
